Date,Close,Lag_1,Lag_2,Lag_3,SMA_7
2013-04-02,245.75,246.2,249.35,248.95000000000002,247.20714285714286
2013-04-03,241.25,245.75,246.2,249.35,245.65
2013-04-04,236.3,241.25,245.75,246.2,244.12142857142857
2013-04-05,234.65,236.3,241.25,245.75,243.20714285714286
2013-04-08,237.75,234.65,236.3,241.25,241.60714285714286
2013-04-09,246.04999999999998,237.75,234.65,236.3,241.1357142857143
2013-04-10,240.65,246.04999999999998,237.75,234.65,240.34285714285716
2013-04-11,239.6,240.65,246.04999999999998,237.75,239.46428571428572
2013-04-12,234.8,239.6,240.65,246.04999999999998,238.54285714285714
2013-04-15,228.25000000000003,234.8,239.6,240.65,237.39285714285714
2013-04-16,226.79999999999998,228.25000000000003,234.8,239.6,236.27142857142854
2013-04-17,219.45,226.79999999999998,228.25000000000003,234.8,233.65714285714284
2013-04-18,217.60000000000002,219.45,226.79999999999998,228.25000000000003,229.59285714285716
2013-04-19,219.0,217.60000000000002,219.45,226.79999999999998,226.5
2013-04-22,221.55,219.0,217.60000000000002,219.45,223.92142857142858
2013-04-23,229.39999999999998,221.55,219.0,217.60000000000002,223.15
2013-04-24,228.0,229.39999999999998,221.55,219.0,223.1142857142857
2013-04-25,225.5,228.0,229.39999999999998,221.55,222.92857142857142
2013-04-26,227.3,225.5,228.0,229.39999999999998,224.05
2013-04-29,236.4,227.3,225.5,228.0,226.73571428571427
2013-04-30,248.7,236.4,227.3,225.5,230.97857142857143
2013-05-02,244.3,248.7,236.4,227.3,234.22857142857143
2013-05-03,245.5,244.3,248.7,236.4,236.52857142857144
2013-05-06,246.55,245.5,244.3,248.7,239.17857142857142
2013-05-07,253.25,246.55,245.5,244.3,243.14285714285714
2013-05-08,254.25,253.25,246.55,245.5,246.9928571428571
2013-05-10,249.45,254.25,253.25,246.55,248.85714285714286
2013-05-13,236.1,249.45,254.25,253.25,247.05714285714288
2013-05-14,229.50000000000003,236.1,249.45,254.25,244.94285714285715
2013-05-15,227.00000000000003,229.50000000000003,236.1,249.45,242.3
2013-05-16,221.7,227.00000000000003,229.50000000000003,236.1,238.75000000000003
2013-05-17,224.6,221.7,227.00000000000003,229.50000000000003,234.65714285714284
2013-05-20,232.6,224.6,221.7,227.00000000000003,231.5642857142857
2013-05-21,240.25,232.6,224.6,221.7,230.25
2013-05-22,247.54999999999998,240.25,232.6,224.6,231.88571428571427
2013-05-23,239.20000000000002,247.54999999999998,240.25,232.6,233.27142857142854
2013-05-24,233.04999999999998,239.20000000000002,247.54999999999998,240.25,234.13571428571427
2013-05-27,232.75,233.04999999999998,239.20000000000002,247.54999999999998,235.71428571428572
2013-05-28,238.05,232.75,233.04999999999998,239.20000000000002,237.6357142857143
2013-05-29,229.70000000000002,238.05,232.75,233.04999999999998,237.2214285714286
2013-05-30,229.15,229.70000000000002,238.05,232.75,235.6357142857143
2013-05-31,231.65,229.15,229.70000000000002,238.05,233.36428571428573
2013-06-03,233.7,231.65,229.15,229.70000000000002,232.57857142857145
2013-06-04,240.1,233.7,231.65,229.15,233.58571428571426
2013-06-05,236.0,240.1,233.7,231.65,234.04999999999998
2013-06-06,233.24999999999997,236.0,240.1,233.7,233.3642857142857
2013-06-07,238.15,233.24999999999997,236.0,240.1,234.57142857142858
2013-06-10,238.5,238.15,233.24999999999997,236.0,235.90714285714284
2013-06-11,237.45,238.5,238.15,233.24999999999997,236.73571428571427
2013-06-13,232.45,237.45,238.5,238.15,236.55714285714285
2013-06-14,237.5,232.45,237.45,238.5,236.18571428571428
2013-06-17,240.85,237.5,232.45,237.45,236.8785714285714
2013-06-18,244.75,240.85,237.5,232.45,238.52142857142854
2013-06-19,243.45,244.75,240.85,237.5,239.27857142857144
2013-06-20,234.60000000000002,243.45,244.75,240.85,238.72142857142856
2013-06-21,239.0,234.60000000000002,243.45,244.75,238.94285714285715
2013-06-24,235.2,239.0,234.60000000000002,243.45,239.33571428571426
2013-06-25,240.15,235.2,239.0,234.60000000000002,239.71428571428572
2013-06-26,245.55,240.15,235.2,239.0,240.3857142857143
2013-06-27,237.6,245.55,240.15,235.2,239.36428571428573
2013-06-28,234.8,237.6,245.55,240.15,238.12857142857143
2013-07-01,236.25,234.8,237.6,245.55,238.3642857142857
2013-07-02,237.0,236.25,234.8,237.6,238.07857142857142
2013-07-03,234.75,237.0,236.25,234.8,238.01428571428573
2013-07-04,236.75000000000003,234.75,237.0,236.25,237.52857142857144
2013-07-05,238.05,236.75000000000003,234.75,237.0,236.45714285714286
2013-07-08,235.95000000000002,238.05,236.75000000000003,234.75,236.22142857142856
2013-07-09,234.9,235.95000000000002,238.05,236.75000000000003,236.2357142857143
2013-07-10,228.25000000000003,234.9,235.95000000000002,238.05,235.09285714285716
2013-07-11,234.95,228.25000000000003,234.9,235.95000000000002,234.8
2013-07-12,235.0,234.95,228.25000000000003,234.9,234.83571428571432
2013-07-15,236.35,235.0,234.95,228.25000000000003,234.77857142857144
2013-07-16,236.0,236.35,235.0,234.95,234.4857142857143
2013-07-17,238.85,236.0,236.35,235.0,234.9
2013-07-18,234.25,238.85,236.0,236.35,234.80714285714285
2013-07-19,234.55,234.25,238.85,236.0,235.70714285714286
2013-07-22,234.65,234.55,234.25,238.85,235.66428571428568
2013-07-23,233.65,234.65,234.55,234.25,235.47142857142856
2013-07-24,233.4,233.65,234.65,234.55,235.04999999999998
2013-07-25,232.79999999999998,233.4,233.65,234.65,234.59285714285716
2013-07-26,235.2,232.79999999999998,233.4,233.65,234.07142857142858
2013-07-29,235.2,235.2,232.79999999999998,233.4,234.20714285714286
2013-07-30,233.0,235.2,235.2,232.79999999999998,233.98571428571427
2013-07-31,232.9,233.0,235.2,235.2,233.7357142857143
2013-08-01,234.70000000000002,232.9,233.0,235.2,233.8857142857143
2013-08-02,234.29999999999998,234.70000000000002,232.9,233.0,234.01428571428573
2013-08-05,232.05,234.29999999999998,234.70000000000002,232.9,233.90714285714284
2013-08-06,231.0,232.05,234.29999999999998,234.70000000000002,233.30714285714288
2013-08-07,230.4,231.0,232.05,234.29999999999998,232.6214285714286
2013-08-08,227.14999999999998,230.4,231.0,232.05,231.78571428571428
2013-08-09,229.15,227.14999999999998,230.4,231.0,231.25
2013-08-12,232.75,229.15,227.14999999999998,230.4,230.97142857142856
2013-08-13,237.25,232.75,229.15,227.14999999999998,231.39285714285714
2013-08-14,237.79999999999998,237.25,232.75,229.15,232.21428571428572
2013-08-15,235.60000000000002,237.79999999999998,237.25,232.75,232.87142857142857
2013-08-16,235.29999999999998,235.60000000000002,237.79999999999998,237.25,233.57142857142858
2013-08-19,235.50000000000003,235.29999999999998,235.60000000000002,237.79999999999998,234.76428571428573
2013-08-20,233.4,235.50000000000003,235.29999999999998,235.60000000000002,235.37142857142857
2013-08-21,228.55,233.4,235.50000000000003,235.29999999999998,234.77142857142857
2013-08-22,230.05,228.55,233.4,235.50000000000003,233.74285714285716
2013-08-23,228.70000000000002,230.05,228.55,233.4,232.44285714285715
2013-08-26,228.5,228.70000000000002,230.05,228.55,231.42857142857147
2013-08-27,226.65,228.5,228.70000000000002,230.05,230.19285714285715
2013-08-28,226.5,226.65,228.5,228.70000000000002,228.90714285714284
2013-08-29,226.05,226.5,226.65,228.5,227.85714285714286
2013-08-30,222.95,226.05,226.5,226.65,227.05714285714285
2013-09-02,222.75,222.95,226.05,226.5,226.0142857142857
2013-09-03,224.0,222.75,222.95,226.05,225.34285714285713
2013-09-04,223.70000000000002,224.0,222.75,222.95,224.65714285714284
2013-09-05,227.45000000000002,223.70000000000002,224.0,222.75,224.77142857142857
2013-09-06,220.85,227.45000000000002,223.70000000000002,224.0,223.96428571428572
2013-09-09,221.75,220.85,227.45000000000002,223.70000000000002,223.34999999999997
2013-09-10,222.55,221.75,220.85,227.45000000000002,223.29285714285717
2013-09-11,222.55,222.55,221.75,220.85,223.26428571428573
2013-09-12,221.10000000000002,222.55,222.55,221.75,222.85
2013-09-13,218.9,221.10000000000002,222.55,222.55,222.16428571428574
2013-09-16,219.0,218.9,221.10000000000002,222.55,220.95714285714286
2013-09-17,220.3,219.0,218.9,221.10000000000002,220.87857142857143
2013-09-18,218.85000000000002,220.3,219.0,218.9,220.46428571428575
2013-09-19,218.8,218.85000000000002,220.3,219.0,219.92857142857142
2013-09-20,218.05,218.8,218.85000000000002,220.3,219.28571428571428
2013-09-23,218.1,218.05,218.8,218.85000000000002,218.8571428571429
2013-09-24,217.39999999999998,218.1,218.05,218.8,218.64285714285714
2013-09-25,217.95,217.39999999999998,218.1,218.05,218.49285714285716
2013-09-26,216.8,217.95,217.39999999999998,218.1,217.99285714285716
2013-09-27,215.45000000000002,216.8,217.95,217.39999999999998,217.50714285714284
2013-09-30,213.35,215.45000000000002,216.8,217.95,216.72857142857143
2013-10-01,216.04999999999998,213.35,215.45000000000002,216.8,216.44285714285712
2013-10-02,213.15,216.04999999999998,213.35,215.45000000000002,215.73571428571427
2013-10-03,210.20000000000002,213.15,216.04999999999998,213.35,214.70714285714286
2013-10-04,211.45000000000002,210.20000000000002,213.15,216.04999999999998,213.77857142857144
2013-10-07,210.10000000000002,211.45000000000002,210.20000000000002,213.15,212.82142857142858
2013-10-08,211.55,210.10000000000002,211.45000000000002,210.20000000000002,212.26428571428573
2013-10-09,211.14999999999998,211.55,210.10000000000002,211.45000000000002,211.95000000000002
2013-10-10,213.75000000000003,211.14999999999998,211.55,210.10000000000002,211.62142857142857
2013-10-11,214.95,213.75000000000003,211.14999999999998,211.55,211.87857142857143
2013-10-14,218.0,214.95,213.75000000000003,211.14999999999998,212.99285714285716
2013-10-15,219.15,218.0,214.95,213.75000000000003,214.09285714285716
2013-10-16,219.15,219.15,218.0,214.95,215.3857142857143
2013-10-17,216.24999999999997,219.15,219.15,218.0,216.05714285714285
2013-10-18,216.85,216.24999999999997,219.15,219.15,216.87142857142857
